Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Auchencorth Moss",,"Bournemouth",,"Brighton Preston Park",,"Chilbolton Observatory",,"Inverness",,"London Marylebone Road",,"London N. Kensington",,"London Westminster",,"Northampton Kingsthorpe",,"Wrexham",
Latitude,55.792160,,50.739570,,50.840836,,51.149617,,57.481308,,51.522530,,51.521050,,51.494670,,52.271886,,53.042282,,
Longitude,-3.242900,,-1.826744,,-0.147572,,-1.438228,,-4.241451,,-0.154611,,-0.213419,,-0.131931,,-0.879898,,-3.002829,,
Site Type,Rural Background,,Urban Background,,Urban Background,,Rural Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,,Urban Traffic,,
Zone,Central Scotland,,South West,,South East,,South East,,Highland,,Greater London,,Greater London,,Greater London,,East Midlands,,North Wales,,
Agglomeration,#N/A,,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,#N/A,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,
Local Authority,"Midlothian",,"Bournemouth",,"Brighton",,"Test Valley",,"Highland",,"Westminster",,"Kensington",,"Westminster",,"Northampton",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2016-08-22,2.625,V ugm-3 (GRAV EMFAB),5.375,V ugm-3 (GRAV EMFAB),6.292,V ugm-3 (GRAV EMFAB),4.833,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),13.18,V ugm-3 (GRAV EMFAB),6,V ugm-3 (GRAV EMFAB),5.625,V ugm-3 (GRAV EMFAB),2.833,V ugm-3 (GRAV EMFAB),2.739,V ugm-3 (GRAV EMFAB)
2016-08-23,3.958,V ugm-3 (GRAV EMFAB),5.667,V ugm-3 (GRAV EMFAB),5.708,V ugm-3 (GRAV EMFAB),4.792,V ugm-3 (GRAV EMFAB),4.139,V ugm-3 (GRAV EMFAB),13.891,V ugm-3 (GRAV EMFAB),5.833,V ugm-3 (GRAV EMFAB),6.833,V ugm-3 (GRAV EMFAB),4.958,V ugm-3 (GRAV EMFAB),6.68,V ugm-3 (GRAV EMFAB)
2016-08-24,2.917,V ugm-3 (GRAV EMFAB),13.167,V ugm-3 (GRAV EMFAB),10.167,V ugm-3 (GRAV EMFAB),8.711,V ugm-3 (GRAV EMFAB),4.014,V ugm-3 (GRAV EMFAB),16.904,V ugm-3 (GRAV EMFAB),12.333,V ugm-3 (GRAV EMFAB),14.125,V ugm-3 (GRAV EMFAB),8.042,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2016-08-25,2.625,V ugm-3 (GRAV EMFAB),12,V ugm-3 (GRAV EMFAB),18.333,V ugm-3 (GRAV EMFAB),16.708,V ugm-3 (GRAV EMFAB),4.597,V ugm-3 (GRAV EMFAB),14.812,V ugm-3 (GRAV EMFAB),12.417,V ugm-3 (GRAV EMFAB),15.375,V ugm-3 (GRAV EMFAB),9.708,V ugm-3 (GRAV EMFAB),11.079,V ugm-3 (GRAV EMFAB)
2016-08-26,1.333,V ugm-3 (GRAV EMFAB),4.333,V ugm-3 (GRAV EMFAB),8.125,V ugm-3 (GRAV EMFAB),4.292,V ugm-3 (GRAV EMFAB),2.556,V ugm-3 (GRAV EMFAB),8.954,V ugm-3 (GRAV EMFAB),5.208,V ugm-3 (GRAV EMFAB),7.375,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),3.112,V ugm-3 (GRAV EMFAB)
2016-08-27,4,V ugm-3 (GRAV EMFAB),11.583,V ugm-3 (GRAV EMFAB),19.625,V ugm-3 (GRAV EMFAB),17.208,V ugm-3 (GRAV EMFAB),3.972,V ugm-3 (GRAV EMFAB),13.598,V ugm-3 (GRAV EMFAB),9.125,V ugm-3 (GRAV EMFAB),11.583,V ugm-3 (GRAV EMFAB),5.458,V ugm-3 (GRAV EMFAB),6.224,V ugm-3 (GRAV EMFAB)
2016-08-28,2.833,V ugm-3 (GRAV EMFAB),4.083,V ugm-3 (GRAV EMFAB),5.917,V ugm-3 (GRAV EMFAB),4.125,V ugm-3 (GRAV EMFAB),4.181,V ugm-3 (GRAV EMFAB),11.088,V ugm-3 (GRAV EMFAB),5.667,V ugm-3 (GRAV EMFAB),5.75,V ugm-3 (GRAV EMFAB),4.417,V ugm-3 (GRAV EMFAB),5.104,V ugm-3 (GRAV EMFAB)
2016-08-29,1.917,V ugm-3 (GRAV EMFAB),3.983,V ugm-3 (GRAV EMFAB),7.917,V ugm-3 (GRAV EMFAB),3.875,V ugm-3 (GRAV EMFAB),3.347,V ugm-3 (GRAV EMFAB),6.695,V ugm-3 (GRAV EMFAB),8.833,V ugm-3 (GRAV EMFAB),6,V ugm-3 (GRAV EMFAB),5.083,V ugm-3 (GRAV EMFAB),3.361,V ugm-3 (GRAV EMFAB)
2016-08-30,2.625,V ugm-3 (GRAV EMFAB),6.042,V ugm-3 (GRAV EMFAB),7.708,V ugm-3 (GRAV EMFAB),5.708,V ugm-3 (GRAV EMFAB),4.972,V ugm-3 (GRAV EMFAB),15.021,V ugm-3 (GRAV EMFAB),7.583,V ugm-3 (GRAV EMFAB),9.292,V ugm-3 (GRAV EMFAB),5.25,V ugm-3 (GRAV EMFAB),3.734,V ugm-3 (GRAV EMFAB)
2016-08-31,1.5,V ugm-3 (GRAV EMFAB),6.208,V ugm-3 (GRAV EMFAB),4.458,V ugm-3 (GRAV EMFAB),6.375,V ugm-3 (GRAV EMFAB),1.833,V ugm-3 (GRAV EMFAB),12.05,V ugm-3 (GRAV EMFAB),4.917,V ugm-3 (GRAV EMFAB),5.667,V ugm-3 (GRAV EMFAB),5,V ugm-3 (GRAV EMFAB),4.232,V ugm-3 (GRAV EMFAB)
