date,O3,NO,NO2,NOx,CO,PM10,station,day_of_week,quarter_num,year
2023-11-13,27.174781666666664,25.299401666666668,42.54515625,81.313125,0.3119085833333333,18.1,London Marylebone Road,0,4,2023
2023-11-14,18.98409625,43.30209833333333,53.39859375,119.78625,0.38612633333333335,21.7,London Marylebone Road,1,4,2023
2023-11-15,13.105096666666666,46.207267916666666,57.79734375,128.66343750000001,0.38127550000000004,18.2,London Marylebone Road,2,4,2023
2023-11-16,5.721006666666667,29.10366666666667,52.697343749999995,97.33828125000001,0.31530416666666666,23.8,London Marylebone Road,3,4,2023
2023-11-17,7.5005058333333325,61.48669291666667,64.96921875,159.2315625,0.41620149999999995,24.1,London Marylebone Road,4,4,2023
2023-11-18,24.247754999999998,22.706057083333334,34.9509375,69.76640625,0.22847425,12.3,London Marylebone Road,5,4,2023
2023-11-19,36.413209583333334,16.194111666666668,29.9465625,54.78515625,0.23138475,18.9,London Marylebone Road,6,4,2023
2023-11-20,27.9398,18.174200416666668,33.628125000000004,61.502812500000005,0.2367206666666667,13.8,London Marylebone Road,0,4,2023
2023-11-21,24.114708333333336,8.3880925,12.27984375,25.1334375,0.20227975,7.5,London Marylebone Road,1,4,2023
2023-11-22,6.325501304347825,67.82058173913043,45.99978260869565,150.04809782608694,0.40848234782608694,21.3,London Marylebone Road,2,4,2023
2023-11-23,14.302516666666667,37.41380291666667,43.724531250000005,101.09156250000001,0.27552733333333335,15.2,London Marylebone Road,3,4,2023
2023-11-24,46.79084958333333,5.415360833333334,16.734375,25.029843749999998,0.24933283333333334,12.2,London Marylebone Road,4,4,2023
2023-11-25,18.767895416666665,34.03569875,44.6728125,96.8521875,0.4360899166666667,21.4,London Marylebone Road,5,4,2023
2023-11-26,4.307385833333334,53.337666250000005,52.880625,134.67984375,0.5956823333333333,,London Marylebone Road,6,4,2023
2023-11-27,22.95886541666667,21.427574583333335,28.902656250000003,61.7578125,0.28619916666666667,,London Marylebone Road,0,4,2023
2023-11-28,19.641014166666668,33.058647083333334,35.27765625,85.97484374999999,0.38564125,15.7,London Marylebone Road,1,4,2023
2023-11-29,7.924592083333334,28.81263,44.0353125,88.19015625000002,0.4341495833333333,23.2,London Marylebone Road,2,4,2023
2023-11-30,8.6314025,13.491628333333333,33.89109375,54.55406249999999,0.41523133333333334,16.7,London Marylebone Road,3,4,2023
2023-12-01,12.115562083333332,16.344827083333332,26.846718749999997,51.9084375,0.42056725,14.0,London Marylebone Road,4,4,2023
2023-12-02,9.695775833333334,61.81410916666667,40.72828125,135.5165625,0.6223619166666666,21.5,London Marylebone Road,5,4,2023
2023-12-03,11.799576250000001,36.56148125,44.067187499999996,100.12734375000001,0.5234049166666667,,London Marylebone Road,6,4,2023
2023-12-04,28.37220166666667,16.57869583333333,23.4440625,48.912187499999995,0.3589616666666667,16.3,London Marylebone Road,0,4,2023
2023-12-05,23.998292499999998,11.84935,28.33232142857143,46.47375,0.1363777142857143,12.4,London Marylebone Road,1,4,2023
2023-12-06,7.3380353846153845,65.55374956521739,57.73255434782609,158.23027173913042,0.29642323076923077,28.4,London Marylebone Road,2,4,2023
2023-12-07,18.785610869565218,32.097186666666666,42.106875,91.34578125,0.2546054782608696,15.3,London Marylebone Road,3,4,2023
2023-12-08,14.89291125,55.697142083333326,62.30765625,147.7246875,0.32694616666666665,,London Marylebone Road,4,4,2023
2023-12-09,33.12030458333333,24.40030625,44.625,82.0303125,0.2682510833333333,13.1,London Marylebone Road,5,4,2023
2023-12-10,31.008188750000002,24.971985416666666,45.07921875,83.36109375,0.30996825,12.1,London Marylebone Road,6,4,2023
2023-12-11,21.902807499999998,49.070860833333334,61.87734375,137.11828125,0.34683458333333334,20.3,London Marylebone Road,0,4,2023
2023-12-12,15.1174275,52.39179708333333,65.42343749999999,145.7484375,0.3356776666666667,14.0,London Marylebone Road,1,4,2023
2023-12-13,24.17291625,12.556153333333333,23.64328125,42.87984375,0.2008245,7.3,London Marylebone Road,2,4,2023
2023-12-14,6.66064875,100.04905125,61.741875,215.15625,0.4491871666666667,23.4,London Marylebone Road,3,4,2023
2023-12-15,2.3698937499999997,93.34481375,72.07734375,215.21203125,0.43026891666666667,37.7,London Marylebone Road,4,4,2023
2023-12-16,20.023523333333333,35.80270708333333,46.059374999999996,100.97203125,0.23429524999999998,12.7,London Marylebone Road,5,4,2023
2023-12-17,33.05378125,23.98973666666667,37.2778125,74.02968750000001,0.24981791666666667,18.4,London Marylebone Road,6,4,2023
2023-12-18,36.138800833333335,28.05905291666667,41.788125,84.79546875,0.20858583333333333,22.8,London Marylebone Road,0,4,2023
2023-12-19,30.808618749999997,20.751953750000002,39.015,70.81828125,0.2134366666666667,12.0,London Marylebone Road,1,4,2023
2023-12-20,16.63083333333333,40.422914166666665,54.46640625,116.4553125,0.29155617391304345,15.9,London Marylebone Road,2,4,2023
2023-12-21,40.29650916666667,14.177643333333334,31.2215625,52.92046875,0.17268966666666666,10.7,London Marylebone Road,3,4,2023
2023-12-22,39.1656125,14.151657916666666,34.56046875,56.29125,0.19888416666666667,8.6,London Marylebone Road,4,4,2023
2023-12-23,39.74769166666667,16.848944166666666,36.63234375,62.46703125,0.221198,8.6,London Marylebone Road,5,4,2023
2023-12-24,46.12561625,11.386809583333333,22.894218750000004,40.35375,0.197914,5.1,London Marylebone Road,6,4,2023
2023-12-25,41.26941291666667,13.709905833333332,27.32484375,48.36234375,0.25757925,4.9,London Marylebone Road,0,4,2023
2023-12-26,28.313993749999998,21.469829130434782,41.78396739130435,74.70391304347827,0.30899808333333334,17.9,London Marylebone Road,1,4,2023
2023-12-27,37.08675833333333,13.216182916666668,30.297187500000003,50.5378125,0.23526541666666667,14.1,London Marylebone Road,2,4,2023
2023-12-28,49.451782916666666,14.977994166666667,27.86671875,50.80875,0.2066455,24.7,London Marylebone Road,3,4,2023
2023-12-29,33.81048416666667,23.262145,38.6484375,74.3165625,0.25806433333333334,13.5,London Marylebone Road,4,4,2023
2023-12-30,35.706399166666664,14.941614583333333,33.7715625,56.673750000000005,0.22653391666666667,13.8,London Marylebone Road,5,4,2023
2023-12-31,46.42497125,16.220097083333332,28.815,53.6775,0.21780241666666667,9.8,London Marylebone Road,6,4,2023
2024-01-01,33.01220416666667,21.666640416666667,39.4771875,72.69890625000001,0.22071291666666668,14.3,London Marylebone Road,0,1,2024
2024-01-02,43.323320833333334,17.33747,33.6440625,60.2278125,0.15522666666666665,28.8,London Marylebone Road,1,1,2024
2024-01-03,29.510329130434783,24.918884782608696,44.48641304347826,82.68652173913043,0.18222260869565216,13.2,London Marylebone Road,2,1,2024
2024-01-04,27.756860833333334,28.5319875,46.0115625,89.76,0.26631075,11.1,London Marylebone Road,3,1,2024
2024-01-05,26.334924583333333,12.415832083333333,30.41671875,49.446093749999996,0.26873616666666666,24.4,London Marylebone Road,4,1,2024
