Hourly measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",
Latitude,,51.522530,,
Longitude,,-0.154611,,
Site Type,,Urban Traffic,,
Zone,,Greater London,,
Agglomeration,,Greater London Urban Area,,
Local Authority,,"Westminster",,
Date,Time,"Carbon monoxide",Status
2021-01-13,21:00:00,0.229184,V mgm-3
2021-01-13,22:00:00,0.200929,V mgm-3
2021-01-13,23:00:00,0.172673,V mgm-3
2021-01-13,24:00:00,0.084767,V mgm-3
2021-01-14,01:00:00,0.062526,V mgm-3
2021-01-14,02:00:00,0.183409,V mgm-3
2021-01-14,03:00:00,0.156315,V mgm-3
2021-01-14,04:00:00,0.175072,V mgm-3
2021-01-14,05:00:00,0.175072,V mgm-3
2021-01-14,06:00:00,0.203209,V mgm-3
2021-01-14,07:00:00,0.215713,V mgm-3
2021-01-14,08:00:00,0.331387,V mgm-3
2021-01-14,09:00:00,0.318881,V mgm-3
2021-01-14,10:00:00,0.240724,V mgm-3
2021-01-14,11:00:00,0.243851,V mgm-3
2021-01-14,12:00:00,0.350145,V mgm-3
2021-01-14,13:00:00,0.325134,V mgm-3
2021-01-14,14:00:00,0.284492,V mgm-3
2021-01-14,15:00:00,0.309503,V mgm-3
2021-01-14,16:00:00,0.290745,V mgm-3
2021-01-14,17:00:00,0.296998,V mgm-3
2021-01-14,18:00:00,0.322008,V mgm-3
2021-01-14,19:00:00,0.343892,V mgm-3
2021-01-14,20:00:00,0.359524,V mgm-3
2021-01-14,21:00:00,0.343892,V mgm-3
2021-01-14,22:00:00,0.340766,V mgm-3
2021-01-14,23:00:00,0.359524,V mgm-3
2021-01-14,24:00:00,0.375155,V mgm-3
2021-01-15,01:00:00,0.078864,V mgm-3
2021-01-15,02:00:00,0.070563,V mgm-3
2021-01-15,03:00:00,0.087166,V mgm-3
2021-01-15,04:00:00,0.084053,V mgm-3
2021-01-15,05:00:00,0.093392,V mgm-3
2021-01-15,06:00:00,0.112071,V mgm-3
2021-01-15,07:00:00,0.136975,V mgm-3
2021-01-15,08:00:00,0.180558,V mgm-3
2021-01-15,09:00:00,0.230367,V mgm-3
2021-01-15,10:00:00,0.236593,V mgm-3
2021-01-15,11:00:00,0.20235,V mgm-3
2021-01-15,12:00:00,0.227254,V mgm-3
2021-01-15,13:00:00,0.214802,V mgm-3
2021-01-15,14:00:00,0.236593,V mgm-3
2021-01-15,15:00:00,0.280175,V mgm-3
2021-01-15,16:00:00,0.283288,V mgm-3
2021-01-15,17:00:00,0.613274,V mgm-3
2021-01-15,18:00:00,0.644404,V mgm-3
2021-01-15,19:00:00,0.681761,V mgm-3
2021-01-15,20:00:00,0.597708,V mgm-3
2021-01-15,21:00:00,0.703552,V mgm-3
2021-01-15,22:00:00,0.641291,V mgm-3
2021-01-15,23:00:00,0.482525,V mgm-3
2021-01-15,24:00:00,0.314419,V mgm-3
2021-01-16,01:00:00,0.392646,V mgm-3
2021-01-16,02:00:00,0.359581,V mgm-3
2021-01-16,03:00:00,0.334782,V mgm-3
2021-01-16,04:00:00,0.334782,V mgm-3
2021-01-16,05:00:00,0.322383,V mgm-3
2021-01-16,06:00:00,0.347182,V mgm-3
2021-01-16,07:00:00,0.396779,V mgm-3
2021-01-16,08:00:00,0.344082,V mgm-3
2021-01-16,09:00:00,0.337882,V mgm-3
2021-01-16,10:00:00,0.263486,V mgm-3
2021-01-16,11:00:00,0.158091,V mgm-3
2021-01-16,12:00:00,0.164292,V mgm-3
2021-01-16,13:00:00,0.263486,V mgm-3
2021-01-16,14:00:00,0.340983,V mgm-3
2021-01-16,15:00:00,0.334782,V mgm-3
2021-01-16,16:00:00,0.365781,V mgm-3
2021-01-16,17:00:00,0.57347,V mgm-3
2021-01-16,18:00:00,0.505273,V mgm-3
2021-01-16,19:00:00,0.316184,V mgm-3
2021-01-16,20:00:00,0.319283,V mgm-3
2021-01-16,21:00:00,0.331683,V mgm-3
2021-01-16,22:00:00,0.247987,V mgm-3
2021-01-16,23:00:00,0.223189,V mgm-3
2021-01-16,24:00:00,0.092995,V mgm-3
2021-01-17,01:00:00,0.148157,V mgm-3
2021-01-17,02:00:00,0.086426,V mgm-3
2021-01-17,03:00:00,0.086426,V mgm-3
2021-01-17,04:00:00,0.070992,V mgm-3
2021-01-17,05:00:00,0.070992,V mgm-3
2021-01-17,06:00:00,0.080252,V mgm-3
2021-01-17,07:00:00,0.095684,V mgm-3
2021-01-17,08:00:00,0.129637,V mgm-3
2021-01-17,09:00:00,0.18211,V mgm-3
2021-01-17,10:00:00,0.203716,V mgm-3
2021-01-17,11:00:00,0.145071,V mgm-3
2021-01-17,12:00:00,0.129637,V mgm-3
2021-01-17,13:00:00,0.123465,V mgm-3
2021-01-17,14:00:00,0.141985,V mgm-3
2021-01-17,15:00:00,0.16359,V mgm-3
2021-01-17,16:00:00,0.166677,V mgm-3
2021-01-17,17:00:00,0.253102,V mgm-3
2021-01-17,18:00:00,0.336441,V mgm-3
2021-01-17,19:00:00,0.558676,V mgm-3
2021-01-17,20:00:00,0.604975,V mgm-3
2021-01-17,21:00:00,0.561763,V mgm-3
2021-01-17,22:00:00,0.512377,V mgm-3
2021-01-17,23:00:00,0.509291,V mgm-3
2021-01-17,24:00:00,0.472251,V mgm-3
2021-01-18,01:00:00,0.528622,V mgm-3
2021-01-18,02:00:00,0.385198,V mgm-3
2021-01-18,03:00:00,0.365732,V mgm-3
2021-01-18,04:00:00,0.291971,V mgm-3
2021-01-18,05:00:00,0.301191,V mgm-3
2021-01-18,06:00:00,0.334999,V mgm-3
2021-01-18,07:00:00,0.516329,V mgm-3
2021-01-18,08:00:00,0.666924,V mgm-3
2021-01-18,09:00:00,0.587016,V mgm-3
2021-01-18,10:00:00,0.510182,V mgm-3
2021-01-18,11:00:00,0.556283,V mgm-3
2021-01-18,12:00:00,0.470227,V mgm-3
2021-01-18,13:00:00,0.399539,V mgm-3
2021-01-18,14:00:00,0.445641,V mgm-3
2021-01-18,15:00:00,0.467154,V mgm-3
2021-01-18,16:00:00,0.488668,V mgm-3
2021-01-18,17:00:00,0.596237,V mgm-3
2021-01-18,18:00:00,0.550136,V mgm-3
2021-01-18,19:00:00,0.43642,V mgm-3
2021-01-18,20:00:00,0.393392,V mgm-3
2021-01-18,21:00:00,0.233577,V mgm-3
2021-01-18,22:00:00,0.165963,V mgm-3
2021-01-18,23:00:00,0.144449,V mgm-3
2021-01-18,24:00:00,0.070688,V mgm-3
2021-01-19,01:00:00,0.17545,V mgm-3
2021-01-19,02:00:00,0.122406,V mgm-3
2021-01-19,03:00:00,0.131587,V mgm-3
2021-01-19,04:00:00,0.110166,V mgm-3
2021-01-19,05:00:00,0.082624,V mgm-3
2021-01-19,06:00:00,0.100985,V mgm-3
2021-01-19,07:00:00,0.177489,V mgm-3
2021-01-19,08:00:00,0.241752,V mgm-3
2021-01-19,09:00:00,0.315197,V mgm-3
2021-01-19,10:00:00,0.238692,V mgm-3
